Player Info,Defeated,Assist,Defeated,Fun Coin,Damage,Tank,Heal,Siege Damage
Rain,19,135,1,0,4463403,2092839,0,95389
Cáááá,15,87,6,3520,4587697,1257479,0,1412874
Ztee,15,124,14,0,4186443,2926418,0,0
jinkai,14,78,15,0,3280860,2591783,0,1147429
灰烬锻造,13,61,8,0,3651949,1577984,0,1342265
PsychoV,12,103,6,0,2577410,1852531,0,0
WuWu,12,102,6,4620,4252793,1828805,0,581784
LiLYongPak,10,132,12,0,3759431,2176365,0,29614
Jieeqiong,10,102,19,600,2207582,2866665,0,120359
zillk,9,102,12,0,2138982,2684673,0,25960
LightAshura,9,85,9,0,3419129,3530368,0,960222
CosmosLord,9,118,14,0,2608009,3502053,0,88774
ZenWall,9,112,19,0,2778902,3975523,0,249770
dulciex,8,73,12,2860,1994668,2745081,0,344445
MrSushi,7,136,14,0,3392519,3366453,0,26782
Cyrenes,7,132,3,0,2899091,977951,0,0
PuriPurin,7,90,7,0,1138851,2277908,7748907,0
Gnouccc,7,84,9,1320,1558717,2075240,0,758313
AtotheK,7,138,4,0,3171481,1471107,0,66190
Artirus,6,42,12,0,2819741,2334948,0,1313638
twodee,5,112,20,0,2159483,4052139,0,62897
emShy,5,37,3,0,471647,1599163,7278533,35221
Haviz,5,100,13,0,2265217,2889754,0,714197
Rinie,4,47,7,0,996887,3022399,10704998,153725
LiuMeiyu,3,26,6,0,389916,2812218,9973843,2023
BàoBào,3,41,11,0,1887109,2111693,0,705775
ChucNinh,3,45,6,0,975251,2582764,9487870,8978
Whiskey,2,38,11,3200,1962591,1640646,0,977357
Lucybae,1,53,3,0,245355,1619405,8680320,3798
MaiMaiYeuEm,0,26,23,0,619537,2576332,0,706445
